Kodu,Parfüm Adı,Cinsiyet,Esans,Alkol,Toplam Stok,Fiyat MG/$/KG,Fiyat TL/50 GR,bas_notalar,kalp_notalar,dip_notalar,mevsim,gunun_zamani,ortam,kiyafet_stili,koku_ailesi,koku_yogunlugu,duygusal_etiketler,aciklama_tr
A-101,Amouage - beach hut,Erkek,,,400.0,220,645+KDV,"Bergamot, Mandalina, Deniz Notaları","Sedir, Paçuli, Ambergris","Misk, Vetiver, Beyaz Odun","Yaz, İlkbahar",Gündüz,"Günlük, Açık Hava","Casual, Sportif","Taze, Odunsu",Hafif,"ferah, rahatlatıcı, özgür","Beach Hut, deniz esintilerini ve yazın ferahlığını taşıyan hafif ve taze bir erkek parfümüdür. Günlük kullanım için idealdir."
A-102,Amouage - dia pour femme,Kadın,,,0.0,70,205+KDV,"Bergamot, Portakal Çiçeği, Şeftali","Yasemin, Gül, İris","Sandal Ağacı, Misk, Amber","İlkbahar, Sonbahar","Gündüz, Gece","Özel Davet, Romantik, Ofis","Şık, Klasik","Çiçeksi, Pudralı",Orta,"zarif, feminen, sofistike","Dia Pour Femme, zarif çiçeksi notalarıyla kadınsı ve sofistike bir parfümdür. Hem gündüz hem gece kullanıma uygundur."
A-103,Amouage - İnterlude 53,Unisex,,,350.0,115,337+KDV,"Bergamot, Oregano, Biber","İris, Amber, Tütün","Oud, Vanilya, Misk","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Klasik","Oryantal, Odunsu",Çok Yoğun,"gizemli, güçlü, etkileyici","Interlude 53, yoğun ve karmaşık yapısıyla dikkat çeken unisex bir parfümdür. Gece kullanımı için idealdir."
A-104,Amouage - Reflection Man,Erkek,,,500.0,85,249+KDV,"Bergamot, Yasemin, Neroli","Sedir, Sandal Ağacı, Amber","Misk, Paçuli, Vetiver","İlkbahar, Yaz",Gündüz,"Ofis, Günlük","Klasik, Şık","Çiçeksi, Odunsu",Orta,"ferah, zarif, dengeli","Reflection Man, taze ve zarif çiçeksi-odunsu notalarıyla erkekler için ideal bir gündüz parfümüdür."
A-105,Amouage - Jubilation 40 Man,Erkek,,,300.0,145,425+KDV,"Bergamot, Karanfil, Tarçın","Amber, Tütün, Labdanum","Oud, Misk, Sandal Ağacı","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Klasik","Oryantal, Odunsu",Çok Yoğun,"lüks, güçlü, gizemli","Jubilation 40 Man, zengin ve karmaşık oryantal-odunsu yapısıyla özel geceler için tasarlanmış bir erkek parfümüdür."
A-106,Amouage - Memoir,Kadın,,,90.0,135,396+KDV,"Bergamot, Karanfil, Tarçın","Gül, Yasemin, İris","Misk, Amber, Sandal Ağacı","Sonbahar, Kış",Gece,"Özel Davet, Romantik","Şık, Klasik","Oryantal, Çiçeksi",Yoğun,"duygusal, sofistike, baştan çıkarıcı","Memoir, derin ve gizemli notalarıyla kadınlar için özel ve etkileyici bir parfümdür."
A-107,Amouage - Opus V,Unisex,,,90.0,105,259+KDV,"Nane, Lavanta, Bergamot","İris, Amber, Tütün","Oud, Sandal Ağacı, Misk","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Klasik","Oryantal, Odunsu",Çok Yoğun,"gizemli, sofistike, güçlü","Opus V, zengin ve karmaşık yapısıyla unisex olarak gece kullanımı için uygundur."
A-108,Amouage- İnterlude man,Erkek,,,90.0,150,440+KDV,"Bergamot, Biber, Oregano","İris, Amber, Tütün","Oud, Misk, Sandal Ağacı","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Klasik","Oryantal, Odunsu",Çok Yoğun,"gizemli, güçlü, etkileyici","Interlude Man, yoğun ve karmaşık notalarıyla erkekler için özel gece parfümüdür."
A-109,Amouage- Dia Woman,Kadın,,,180.0,70,205+KDV,"Bergamot, Portakal Çiçeği, Şeftali","Yasemin, Gül, İris","Sandal Ağacı, Misk, Amber","İlkbahar, Sonbahar","Gündüz, Gece","Özel Davet, Romantik, Ofis","Şık, Klasik","Çiçeksi, Pudralı",Orta,"zarif, feminen, sofistike","Dia Woman, kadınsı ve zarif çiçeksi notalarıyla hem gündüz hem gece kullanıma uygundur."
A-99,Amouge - Guidance 46,Unisex,,,200.0,,,"Bergamot, Lavanta, Biber","İris, Amber, Tütün","Oud, Sandal Ağacı, Misk","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Klasik","Oryantal, Odunsu",Çok Yoğun,"gizemli, sofistike, güçlü","Guidance 46, karmaşık ve zengin notalarıyla unisex olarak gece kullanımı için uygundur."
