Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ürün derecelendirmesi sayısı (product.metafields.reviews.rating_count),Etkinlik (product.metafields.shopify.occasion),Koku (product.metafields.shopify.scent),Mevsim (product.metafields.shopify.season),Hedef Cinsiyet (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sare-3lu-ozel-tanisma-seti-ucretsi̇z,Sare - 3'lü Özel Tanışma Seti (ÜCRETSİZ),"<p>Kokularımızı Denemeniz İçin Ürünler Bizden, Kargo Sizden!</p>
<p>500 çeşit parfümümüz arasından merak ettiğiniz kokuları evinizin konforunda deneyimlemeniz için bu özel seti hazırladık. Kalitemize o kadar güveniyoruz ki; parfüm bedeli talep etmiyoruz.</p>
<p>Bu set tamamen ÜCRETSİZ (0 TL)'dir. Ödeme aşamasında sadece kargo ve paketleme bedeli (69 TL) yansıtılacaktır.</p>
<p>Nasıl Sipariş Vereceksiniz?</p>
<p>Bu ürünü sepetinize ekleyin.</p>
<p>Sepet sayfasına gidin.</p>
<p>""Sipariş Notu"" kısmına denemek istediğiniz 3 parfümün ismini yazın.</p>
<p>Ödemeyi tamamlayın, kargonuz yola çıksın!</p>
<p>⚠️ Önemli Not: Stoklarımız sınırlıdır. Her müşteri, bu kampanyadan sadece 1 kez yararlanabilir.<br><br><strong>""Ücretsiz Deneme Seti"" kampanyamıza gösterdiğiniz yoğun talep nedeniyle stoklarımız an itibarıyla tükenmiştir. Kalitemizi merak eden binlerce kişiden biri olduğunuz için teşekkürler! Yeni stoklar ve gelecek kampanyalar için bizi takip etmeye devam edin.</strong><br></p>",sareparfum,Uncategorized,"","",true,ML,3 adet 5 ML Tester,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0924/6844/5473/files/rn-image_picker_lib_temp_07d5c613-559c-4dae-9348-ad37b04ed87c.png?v=1764232225,1,"",false,,,,,,,,,,,,,,,,,,,,,kg,,,active
sare-a-101-plaj-kulubesi,Sare - A-99 Rehber - Amouage Guidance'dan İlham Alan Unisex Parfüm,"<p>Bu parfüm, Amouage'ın modern ikonlarından biri haline gelen, hem bağımlılık yaratan hem de ezber bozan kokusu Guidance'dan ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. Koku dünyasında bir 'pusula' gibi yeni bir yön belirlemek için tasarlanmıştır.</p>
<p><i>Altın Pusula, kremsi fındık, sulu armut ve dumanlı gülün şaşırtıcı birleşimidir.</i> Sandal ağacı, vanilya ve ambergrisin manyetik, puslu kapanışına yönlenmeden önce karmaşık bir deneyim sunar. Bu, hem tatlı hem odunsu, unutulmaz bir rüya.</p>
<p><b>Bunu Biliyor muydunuz?</b></p>
<p>Amouage Guidance, 2023'te piyasaya sürüldüğünde koku dünyasını tam anlamıyla ikiye böldü. Usta parfümör Quentin Bisch tarafından yaratılan bu eser, kısa sürede bir ""modern klasik"" haline geldi. Sadece 2024'te hem Fransa'da (Fragrance Foundation Awards) hem de Belçika'da (Belgian Beauty Awards) ""En İyi Niş Parfüm"" ödüllerini toplayarak başarısını kanıtladı.</p>
<p><b>Koku Profili</b></p>
<ul>
<li>
<b>Koku Ailesi:</b> Odunsu Meyveli Çiçeksi</li>
<li>
<b>Üst Notalar:</b> Armut, Fındık, Olibanum (Günlük)</li>
<li>
<b>Orta Notalar:</b> Gül, Safran, Osmanthus (Zeytin Çiçeği), Yasemin</li>
<li>
<b>Alt Notalar:</b> Sandal Ağacı, Vanilya, Akigalawood, Ambergris</li>
</ul>
<p><b>Performans</b></p>
<p>Kalıcılık: ■■■■■■■■■■ [10/10]<br>Yayılım: ■■■■■■■■■■ [10/10]<br>Mevsim: Sonbahar 🍂, Kış ❄️, İlkbahar 🌸</p>
<p><b>Kullanım ve Karakter (Uzman Yorumu)</b></p>
<p>Bu koku, güvenli, sıradan bir imza arayanlar için değildir. Bu, bir duruş sergileyenlerin kokusudur. Açılıştaki o şaşırtıcı fındık ve armut notaları bazılarına keskin gelebilir, ancak bu parfümün asıl gücü kurudukça ortaya çıkan kremsi sandal ağacı ve vanilya temelindedir. Kalıcılığı ve yayılımı canavar seviyesindedir; bu nedenle az kullanımı (1-2 fıs) bile tüm gün fark edilmenizi sağlar.<b></b></p>
<hr>
<p><small><b>Not:</b> Bu ürün, Amouage Guidance kokusundan ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. İlham alınan marka ile herhangi bir ticari bağlantısı yoktur.</small></p>",sareparfum,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","Amber, AMO, Amouage Guidance Muadili, Amouage Muadili, Buhur Notalı, Education, Fındık Notalı, Guidance, İmza Koku, Kalıcı Parfüm, Kış Parfümü, Learning, Meyveli, Sare-Rehber, Support, Unisex Parfüm, Çiçeksi",true,Yoğunluk,Eau De Parfum,,,,,,,,"",0.0,shopify,2,deny,manual,900.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0924/6844/5473/files/unisex4.jpg?v=1762867565,1,"",false,"AMOUAGE PARFUM, AMOUAGE GUİDANCE,",Discover AMO guidance to enhance your learning experience with expert tips. Improve your understanding and skills effectively.,,,,,,,,,,,,,,aksam-davetleri; romantik; gece; gundelik; ozel-durum; her-gun-2,oryantal; odunsu; meyveli; cicek; baharatli,sonbahar; kis; ilkbahar,uniseks,,kg,,,active
sare-a-101-plaj-kulubesi,,,,,,,,,Extrait De Parfum,,,,,,,,"",0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sare-a-98-sumbulteber-aski,Sare - A-98 Sümbülteber Aşkı - Amouage Love Tuberose'dan İlham Alan Kadın Parfümü,"<p>Bu parfüm, Amouage'ın ""Secret Garden"" (Gizli Bahçe) koleksiyonunun en romantik ve en lezzetli üyelerinden biri olan Love Tuberose'dan ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. Bu koku, sümbülteberin o vahşi, 'diva' tarafını değil, en masum, kremsi ve tatlı tarafını göstermek için tasarlanmıştır.</p>
<p><i>Kremalı Aşk, bembeyaz bir bahçede, vanilyalı krem şanti ile kaplanmış taze sümbülteber çiçeklerini tatmaktır.</i> Beyaz çiçeklerin (gardenya, yasemin) o temiz aurası, vanilya ve krem şanti ile birleşerek onu bir parfümden çok, giyilebilir, lüks bir tatlıya dönüştürür.</p>
<p><b>Bunu Biliyor muydunuz?</b></p>
<p>2018'de piyasaya sürülen Love Tuberose, usta parfümör Nathalie Lorson tarafından yaratılmıştır. Bu koku, Amouage'ın geleneksel ağır reçineli ve baharatlı yapısından bilinçli bir uzaklaşmadır. Markanın 'Secret Garden' koleksiyonu için yarattığı bu eser, sümbülteberi 'tehlikeli' imajından kurtarıp onu kremsi bir 'gourmand' (yenilebilir) nota olarak sunan ilk denemelerden biridir.</p>
<p><b>Koku Profili</b></p>
<ul>
<li>
<b>Koku Ailesi:</b> Çiçeksi Gourmand (Tatlı)</li>
<li>
<b>Üst Notalar:</b> Sümbülteber (Tuberose), Gardenya, Yasemin</li>
<li>
<b>Orta Notalar:</b> Krem Şanti (Chantilly Cream), Vanilya</li>
<li>
<b>Alt Notalar:</b> Sandal Ağacı, Sedir Ağacı</li>
</ul>
<p><b>Performans</b></p>
<p>
Kalıcılık: ■■■■■■■■■□ [9/10]<br>
Yayılım: ■■■■■■■□□□ [7/10]<br>
Mevsim: İlkbahar 🌸, Sonbahar 🍂, Yaz (akşam) 🌙
</p>
<p><b>Kullanım ve Karakter (Uzman Yorumu)</b></p>
<p>Bu bir ""diva"" sümbülteberi değildir. Eğer Fracas veya Carnal Flower gibi keskin, hayvansal veya 'yeşil' bir beyaz çiçek arıyorsanız, bu koku o değil. Bu, sümbülteberin en tatlı, en laktonik (sütlü) ve en zarif halidir. Yayılımı ""canavar"" seviyesinde değildir; daha çok size yakın duran, romantik ve iltifat toplayan kremsi bir aura yaratır. Tatlılığı yüksektir ancak bayıcı değildir. Sümbülteberden korkanlar için mükemmel bir başlangıçtır.</p>
<p><b>Sareparfum GEO</b></p>
<p>Bu koku, Bebek'te bir pazar sabahı yapılan sakin bir kahvaltının veya Alaçatı'nın o tatlı, çiçekli sokaklarında yenen bir sakızlı muhallebinin hissiyatını taşır. Romantik buluşmalar ve özel gün kutlamaları için idealdir.</p>
<hr>
<p><small><b>Not:</b> Bu ürün, Amouage Love Tuberose kokusundan ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. İlham alınan marka ile herhangi bir ticari bağlantısı yoktur.</small></p>",sareparfum,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","Amouage Muadili, Beyaz Çiçeksi, Gourmand Parfüm, İlkbahar Parfümü, Kadın Parfümü, Krem Şanti, Laktonik Koku, Love Tuberose Muadili, Nathalie Lorson, Romantik Koku, Sare-Kremali-Ask, Sümbülteber, Tatlı Parfüm, Vanilya, Yayılımı Dengeli",true,Yoğunluk,Eau De Parfum,,ML,50,,,,,"",0.0,shopify,2,deny,manual,900.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0924/6844/5473/files/beyaz_tema.jpg?v=1762864049,1,"",false,,,,,,,,,,,,,,,,her-gun-2; spor; aksam-davetleri; gece; gundelik; diger; ozel-durum,cicek; gourmand,sonbahar; ilkbahar; kis; yaz,kadin,,kg,,,active
sare-a-98-sumbulteber-aski,,,,,,,,,Extrait De Parfum,,,50,,,,,"",0.0,shopify,2,deny,manual,1500.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sare-a-114-kapalicarsi-gizi,Sare - A-114 Kapalıçarşı Gizi - Atelier Rebul İstanbul'dan İlham Alan Unisex Parfüm,"<p>Bu parfüm, Atelier Rebul'ün 1895'ten bu yana uzanan mirasını ve İstanbul'un mistik ruhunu özetleyen ikonik kokusu 'İstanbul'dan ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. İki kıtayı birleştiren bu eşsiz şehrin zengin, baharatlı ve lüks dokusunu bir şişeye hapsetmek için tasarlanmıştır.</p>
<p><i>İstanbul Rüyası, Mısır Çarşısı'nın loş koridorlarında, tarçın, safran ve karanfilin havaya karıştığı o anın kokuya dönüşmüş halidir.</i> Zengin baharat açılışı, yerini siyah orkide ve yaseminin gizemli kalbine bırakır. Kapanışta ise amber, vanilya ve sandal ağacının derin, kalıcı ve lüks kucaklaması başlar.</p>
<p><b>Bunu Biliyor muydunuz?</b></p>
<p>Atelier Rebul'ün hikayesi, 1895 yılında Fransız eczacı Jean Cesar Reboul'ün İstanbul, Pera'da ""Grande Pharmacie Parisienne"" (Büyük Paris Eczanesi) adıyla Türkiye'nin ilk eczanelerinden birini kurmasıyla başlar. 'İstanbul' kokusu ise markanın bu köklerine bir saygı duruşudur. Kokunun ilham kaynağı doğrudan Mısır Çarşısı'nın o zengin, egzotik ve baharatlı atmosferidir.</p>
<p><b>Koku Profili</b></p>
<ul>
<li>
<b>Koku Ailesi:</b> Baharatlı Amber</li>
<li>
<b>Üst Notalar:</b> Tarçın, Safran, Karanfil, Bergamot</li>
<li>
<b>Orta Notalar:</b> Siyah Orkide, Menekşe, Yasemin</li>
<li>
<b>Alt Notalar:</b> Amber, Sandal Ağacı, Vanilya, Paçuli, Misk, Sedir Ağacı, Ud (Agar Ağacı)</li>
</ul>
<p><b>Performans</b></p>
<p>Kalıcılık: ■■■■■■■■■□ [9/10]<br>Yayılım: ■■■■■■■■■□ [9/10]<br>Mevsim: Sonbahar 🍂, Kış ❄️</p>
<p><b>Kullanım ve Karakter (Uzman Yorumu)</b></p>
<p>Bu parfüm, ""güvenli"" bir seçim değildir; bu bir karakter beyanıdır. Zengin, sıcak ve son derece kalıcıdır. Aç</p>",sareparfum,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","Amber, Atelier Rebul Muadili, Augmented Reality, Baharatlı Parfüm, esans, Istanbul, İkonik Koku, İstanbul Muadili, Kalıcı Parfüm, Karanfil, Kış Parfümü, Mısır Çarşısı, Odunsu Parfüm, parfum, Safran, Sare-Istanbul-Ruyasi, Tarçın Notalı, Unisex Parfüm, Yayılımı Yüksek",true,Yoğunluk,Eau De Parfum,,ML,50,,,,,"",0.0,shopify,2,deny,manual,600.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0924/6844/5473/files/unisex4.jpg?v=1762867565,1,"",false,Sare - A-114 Kapalıçarşı Gizi,ateiler rebul parfüm istanbul,,,,,,,,,,,,,,aksam-davetleri; ozel-durum,oryantal; baharatli; odunsu; cicek,sonbahar; kis,uniseks,,kg,,,active
sare-a-114-kapalicarsi-gizi,,,,,,,,,Extrait De Parfum,,,50,,,,,"",0.0,shopify,2,deny,manual,900.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sare-a-115-amalfi-ruyasi,Sare - A-115 Amalfi Rüyası - Acqua Di Parma Fico Di Amalfi'den İlham Alan Unisex,"<p>Bu parfüm, İtalyan zarafetinin temsilcisi Acqua Di Parma'nın ""Blu Mediterraneo"" koleksiyonundaki en ikonik kokulardan biri olan Fico di Amalfi'den ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. Sizi anında İtalya'nın Amalfi sahillerine, bir incir ağacının gölgesine ışınlamak için tasarlanmıştır.</p>
<p><i>Amalfi İnciri, güneşle ısınmış bir incir ağacının gölgesinde oturmaktır.</i> Sadece tatlı meyveyi değil, aynı zamanda kırılmış yaprağın o yeşil, hafif acımtırak ve taze ferahlığını da sunar. Turunçgillerin enerjisi, bu yeşil ve sütlü incir karakteriyle mükemmel bir dengeye oturur.</p>
<p><b>Bunu Biliyor muydunuz?</b></p>
<p>Acqua Di Parma'nın ""Blu Mediterraneo"" (Mavi Akdeniz) serisi, İtalya'nın en güzel kıyı bölgelerine (Amalfi, Capri, Sicilya) adanmış bir koleksiyondur. Fico di Amalfi'nin (Amalfi İnciri) sırrı, sadece olgun incir meyvesine odaklanmamasıdır. O, ağacın tamamını anlatır: keskin turunçgillerle (bergamot, greyfurt) açılır, incir yaprağının yeşil ve sütlü kalbine bağlanır ve incir ağacının odunsu gövdesiyle (fig wood) kapanır.</p>
<p><b>Koku Profili</b></p>
<ul>
<li>
<b>Koku Ailesi:</b> Narenciyeli Yeşil İncir</li>
<li>
<b>Üst Notalar:</b> Greyfurt, Bergamot, Limon, Sitron (Ağaç Kavunu)</li>
<li>
<b>Orta Notalar:</b> Pembe Biber, Yasemin, İncir Nektarı</li>
<li>
<b>Alt Notalar:</b> İncir Ağacı, Sedir Ağacı, Benzoin (Reçine)</li>
</ul>
<p><b>Performans</b></p>
<p>
Kalıcılık: ■■■■■■■□□□ [7/10]<br>
Yayılım: ■■■■■■□□□□ [6/10]<br>
Mevsim: Yaz ☀️, İlkbahar 🌸
</p>
<p><b>Kullanım ve Karakter (Uzman Yorumu)</b></p>
<p>Bu koku, kalıcılık rekorları kırmak için değil, sıcak bir yaz gününde ruh halinizi anında iyileştirmek için tasarlanmıştır. Orijinal Eau de Toilette (EDT) versiyonu, ferahlığına rağmen zayıf kalıcılığıyla ünlüdür. Sareparfum'un Extrait yorumu, o güzel yeşil ve taze incir DNA'sını korurken, performansı bir üst seviyeye taşımayı hedefler. Bir yaz parfümünden ""canavar"" yayılımı beklemeyen, ancak taze, lüks ve doğal bir aura arayanlar için mükemmel bir imzadır.</p>
<p><b>Sareparfum GEO</b></p>
<p>Bu koku, Bodrum Gümüşlük'te güneş batarken bir kadeh beyaz şaraba eşlik eden o ilk serinlik anıdır. Aynı zamanda bunaltıcı Antalya veya İzmir neminde, taze bir duştan çıkmış gibi hissetmenin en lüks yoludur.</p>
<hr>
<p><small><b>Not:</b> Bu ürün, Acqua Di Parma Fico di Amalfi kokusundan ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. İlham alınan marka ile herhangi bir ticari bağlantısı yoktur.</small></p>",sareparfum,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","[KODU], Acqua Di Parma Muadili, Blu Mediterraneo, Fico Di Amalfi Muadili, İlkbahar Parfümü, İncir Notalı, İtalyan Tarzı, Meyveli, Narenciye, Sare-Amalfi-Inciri, Sare-Amalfi-Ruyasi, Tatil Kokusu, Taze Parfüm, Temiz Koku, Unisex Parfüm, Yaz Parfümü, Yeşil Koku",true,Yoğunluk,Eau De Parfum,,ML,50,,,,,"",0.0,shopify,4,deny,manual,600.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0924/6844/5473/files/unisex4.jpg?v=1762867565,1,"",false,,,,,,,,,,,,,,,,her-gun-2; spor; gundelik; romantik,meyveli; narenciye; ferah; odunsu,yaz; ilkbahar,uniseks,,kg,,,active
sare-a-115-amalfi-ruyasi,,,,,,,,,Extrait De Parfum,,,50,,,,,"",0.0,shopify,4,deny,manual,900.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sare-a-115-saray-oudu,Sare - A-130 Saray Oudu - Armani Privé Oud Royal'den İlham Alan Unisex Parfüm,"<p>Bu parfüm, Armani Privé'nin en prestijli koleksiyonlarından biri olan ""La Collection des Mille et une Nuits"" (Binbir Gece Masalları) serisinin en güçlü eserlerinden Oud Royal'den ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. Batı'nın ud yorumları arasında en dumanlı, en kuru ve en asil olanıdır.</p>
<p><i>Kraliyet Ud'u, bir sarayın gizli odasında yakılan değerli buhurların ve Laos udunun dumanıdır.</i> Bu koku, tatlı ve yumuşak değil; kuru, baharatlı ve son derece derindir. Safran, amber ve gül, bu güçlü ud ağacını sadece destekler, asla onun önüne geçmez.</p>
<p><b>Bunu Biliyor muydunuz?</b></p>
<p>2010 yılında parfümör Evelyne Boulanger tarafından yaratılan Oud Royal, Giorgio Armani'nin ud ağacına bir bakış açısıdır. Armani, bu koku için ""Ud'a, zengin bir altın ve gümüş işlemeli brokar kumaşa yaklaştığım gibi yaklaştım"" demiştir. Parfümün amacı, ud'un tatlı veya hayvansal yönlerini değil, onun ""kraliyet"" ağırlığını, dumanlı dokusunu ve asaletini ortaya çıkarmaktır.</p>
<p><b>Koku Profili</b></p>
<ul>
<li>
<b>Koku Ailesi:</b> Dumanlı Odunsu Amber</li>
<li>
<b>Üst Notalar:</b> Safran, Amber</li>
<li>
<b>Orta Notalar:</b> Ud (Agar Ağacı), Gül, Sandal Ağacı</li>
<li>
<b>Alt Notalar:</b> Tütsü, Mür</li>
</ul>
<p><b>Performans</b></p>
<p>
Kalıcılık: ■■■■■■■■■■ [10/10]<br>
Yayılım: ■■■■■■■■■□ [9/10]<br>
Mevsim: Kış ❄️, Sonbahar 🍂
</p>
<p><b>Kullanım ve Karakter (Uzman Yorumu)</b></p>
<p>Bu parfüm, tatlı ud kokularını sevenlere göre değildir. Bu, ud'un en saf, en kuru, en dumanlı ve en baharatlı halidir. Neredeyse hiç tatlılık barındırmaz; bunun yerine lüks bir ahşap ve tütsü dumanı gibi kokar. Son derece resmidir. Güçlü karakteri nedeniyle günlük kullanımdan çok, özel geceler veya çok soğuk kış günleri için bir ""zırh"" gibidir. Kalıcılığı ve yayılımı muazzamdır, bir-iki fıs tüm gün için yeterlidir.</p>
<p><b>Sareparfum GEO</b></p>
<p>Bu koku, karlı bir Kars gecesinde, tarihi bir taş otelin lobisindeki şöminenin sıcaklığıdır. Aynı zamanda Ankara'nın o keskin ve kuru ayazında giyilen siyah bir paltonun tamamlayıcısıdır. Resmi davetler ve smokin giyilen anlar için yaratılmıştır.</p>
<hr>
<p><small><b>Not:</b> Bu ürün, Armani Privé Oud Royal kokusundan ilham alınarak yaratılmış özgün bir Sareparfum yorumudur. İlham alınan marka ile herhangi bir ticari bağlantısı yoktur.</small></p>",sareparfum,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","Amber, Armani Privé Muadili, Kalıcı Parfüm, Kış Parfümü, Lüks Parfüm, Odunsu, Oud Notalı, Oud Royal Muadili, Sare-Saray-Oudu, Tütsü Notalı, Unisex Parfüm",true,Yoğunluk,Eau De Parfum,,ML,50,,,,,"",0.0,shopify,1,deny,manual,900.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0924/6844/5473/files/unisex4.jpg?v=1762867565,1,"",false,,,,,,,,,,,,,,,,aksam-davetleri; gundelik; gece; romantik; diger; resmi,oryantal; odunsu; tutsu; baharatli; amber,sonbahar; kis,uniseks,,kg,,,active
